标题,链接,摘要
国产航母下水……让我想到李鸿章和北洋舰队,https://zhuanlan.zhihu.com/p/26680060,我们都知道了，上周中国国产航空母舰，下水了。据说许多人都哭了，我也很是理解。 二十多年前，我初读二战战史，看到珊瑚海海战。对许多周杰伦歌迷而言，珊瑚海是一首歌，在我记忆里，却意味着史上第一次航空母舰对战。我记得瑞鹤、翔鹤，记得列克星敦号和…
伤不伤身体我们不管，你揭露了，就活该被追杀！,https://zhuanlan.zhihu.com/p/37011354,<b>本文纯属虚构。</b> 却说光明顶上，张无忌对崆峒派宗维侠道：“这七伤拳的拳功每深一层，自身内脏便多受一层损害。实则是先伤己，再伤敌。这七伤拳有害无益，不能再练。”宗维侠额头上汗珠一滴滴的渗了出来。原来张无忌精通七伤拳的拳理，说来竟丝毫不错。宗维…
白酒有什么好喝的呢？,https://zhuanlan.zhihu.com/p/25433195,我少时便不爱白酒。啤酒清冽，爽口解渴；黄酒醇甜，温润沉厚。白酒有什么好喝呢？我故乡规矩，乡间宴会，每桌发一瓶白酒。女眷不喝爷们喝。江南酒鬼汉子，酒量再大，也不敢愣喝：小杯小盏，倒了白酒，滋溜一口，皱眉眯眼，满脸痛并快乐着，彼此照杯底：“干…
你上次被人称呼“同志”，是什么时候了？,https://zhuanlan.zhihu.com/p/53075603,12月10日午后，我坐北京到无锡的高铁商务座，回家去。邻座有位白寸头穿军大衣的老人。大概是儿女买的票，他对车上的许多细节不大懂，用方言问列车员：这个按钮是干什么的？这个垫子是用来干啥的？如此云云。商务座为图安静，列车员惯常不在车厢里，有事打招…
周立波这个人，真真作孽啊,https://zhuanlan.zhihu.com/p/24971663,今天知道周立波先生在美国被捕、查出了枪支和毒品的事后，我第一时间，脑补出了以下景象：在上海某片天空下的关栋天老师，偶然扫过今天的新闻，目光在某演员涉嫌吸毒的字样上停留片刻，摇了摇头，叹了口气，嘴角勾出丝苦笑，道：个只赤佬……（若换个性格刻…
跟你们明星大爷不同，我们凡人活下去就竭尽全力了,https://zhuanlan.zhihu.com/p/34984389,在NBA，有一些名字如雷贯耳，几乎可以传到火星。在本星球上，甚至一些不懂英语的人，也能对这名字念念有词。但也有这么一群人：他们效力于某支球队，但他们可以不戴墨镜走在离主场球馆100米远的大街上，无人围观索要签名。不看球的老奶奶听到他的名字，会好…
金庸先生逝世了，为什么我们会如此难过,https://zhuanlan.zhihu.com/p/48152024,金庸先生仙逝了。94岁。为什么我们会这么难过呢？ 94岁，按说算喜丧。当年小昭在地道里跟张无忌唱：“到头这一身，难逃那一日。受用了一朝，一朝便宜。百岁光阴，七十者稀。急急流年，滔滔逝水。”七十者稀啊。无崖子九十三岁，童姥九十六岁。 论作品，到19…
喝咖啡真比吃大蒜高雅洋气么？,https://zhuanlan.zhihu.com/p/25890847,我国有位颇为洋气、甚讲派头的演员，曾如此划分人群：吃大蒜的，喝咖啡的。 这位先生自居喝咖啡的一族，对吃大蒜的，似乎无甚好感；大约他先生洋气得很，会觉得大蒜与咖啡，应该泾渭分明，道不同不相与谋。 话说，地中海沿岸的欧洲人，尤其是现代法国人听了…
哪有酒后乱性？都是酒壮人胆才露本性,https://zhuanlan.zhihu.com/p/25768069,“压根就没有酒醉乱性这事，都是借口。喝醉了，要么想吐，要么想睡。还乱性？眼睛都睁不开，哪来力气乱性？酒后就是，有胆子了，心里喜欢的人，心里喜欢的事，敢说了，敢做了，自己也就明白了。” 说完这段话，他将杯子朝我顿了顿，晃了晃脑袋。 姑且叫他热…
让陶崇园死得不明不白的，到底是什么？,https://zhuanlan.zhihu.com/p/35329586,今天是清明节。谨此，向武汉已故的陶崇园表哀悼之情。――打上面这行字时，本想打“陶崇园同学”，再一想，大概他临终时最绝望的，便是无法摆脱<b>学生</b>这个身份吧？ 毕竟，有这个身份在一天，那位老师就未必放得过他。从何时起，学生这个身份，如此卑微了呢？ …
低端帮会也配留在武林？我江湖自有规矩在此,https://zhuanlan.zhihu.com/p/31700692,“师父，为啥那些姑娘女侠刚和我语笑晏晏，一听说我是巨鲸帮的，立刻就翻个白眼？” “傻孩子，报啥帮名儿啊，以后就说你是海上游迹的一介少年浪子，最爱读麦尔维尔的《白鲸》，喜欢闻龙涎香与海风混合的味道。姑娘们立刻扑你怀里。” “怎么，我混帮派还丢…
习惯一个人自由自在――这种状态正常吗？,https://zhuanlan.zhihu.com/p/45813754,2004年秋天，我升大三，领了一笔版税，寻思租房住。找租房中介，在大学附近的所在看房子，看中了一处单间，租了。当时房间里，一张棕棚床，一张桌子，两张椅子，一个衣柜而已。房东走后，我躺在床上看天花板，觉得自己自由了――以前，在家里住，在宿舍住，…
繁体字比简体字高贵……吗？,https://zhuanlan.zhihu.com/p/21739189,一句常见的话，繁体字爱好者拿来吐槽简体字的：亲不见，爱无心，体无骨，龟无脚。意思：繁体字好。简体字不好。 更有甚者，把简体字叫残体字的，觉得繁体字高贵一等。那，果真如此吗？ 类似的话题，近百年前吵过了。早1920年，五四运动刚过，中国思想百花齐…
酒局上的荤段与姑娘：权力遮盖下的性骚扰，或者对权力的模仿与吹嘘,https://zhuanlan.zhihu.com/p/26866559,国内酒局有种现象，姑且叫做“权力遮盖下的性骚扰”。 导师带学生，领导带下属，老板带员工。酒过三巡，借酒蒙脸，地位高些的，开始说荤段子，逼下属饮酒。只要看见席上女孩子脸红，他们就格外高兴，仿佛不是嘴上，而是亲身占到了便宜似的。这样的，有年纪…
恐怖分子想要的，偏不让他们得逞,https://zhuanlan.zhihu.com/p/21610031,今早出门，跑了四公里。周五上午的巴黎，街巷清和。上班族上班，闲汉子闲游。托尔比亚克路与彭斯卡梅路交界处，稳稳坐着的流浪汉白胡子大叔，还是微笑着对每个人招手。只是他今天问了我句：怎么样啊？?a va bien?我：都好啊Tout va bien。他问了我几点，我…
村上春树、南京大屠杀与他一贯的立场,https://zhuanlan.zhihu.com/p/25598825,村上春树新小说《骑士团长杀人事件》，写到了<b>“南京大屠杀40万人遇害”</b>。当然只是小说。但光是提到这件事，已经够让日本右翼惊怒了。 国内也当新闻在登。除了感慨他有良知外，我还是看到了许多诧异的反应：“他不是写跑步写酒吧写小资情调小黄书的吗？” ―…
伸手党们，在想什么呢,https://zhuanlan.zhihu.com/p/20870283,我一直对网络上伸手党的心理好奇。 先说一句，有一类在公众论坛，客客气气求资源共享的伸手党，是互联网时代常见的，大家习惯了，许多人都当过。本来互联网旨在<b>共享</b>，当义务搬运工这种事，同好者都乐意。甚至1024好人一生平安之类，还被传为美谈。我想说的…
有时候，真不敢多看张国荣,https://zhuanlan.zhihu.com/p/35181245,<b>旧文了。</b><b>今天出于众所周知的原因，重发一遍。</b> 张国荣演戏，很细，很用心。《霸王别姬》电影袁四爷初见程蝶衣那段，葛优静坐摆架势说话，张丰毅来回耍脾气。镜子映照着张国荣。那段张国荣台词少，但细节动作毫无敷衍。至少有三个镜头，后景镜中的他是模糊的…
你能融入大城市生活吗,https://zhuanlan.zhihu.com/p/21393429,我还在上海时的某夏天，邻居有个小哥入住。北方人，五大三粗，红脸膛，头发剃得干练如板刷，在小区楼下停了辆改装过的自行车。说话略带口音，但憨厚。“我送水的。”他说。他能在自行车上，挂起数量匪夷所思的饮用水桶，乍看去，如在一根筷子上挂一篮苹果；…
谢谢你，蒂姆-邓肯,https://zhuanlan.zhihu.com/p/21561934,蒂姆-邓肯，刚才退役了。 我早有准备，但看到这消息时，还是无数念头过脑。再想了想，没什么好说好写的了。 他离开得安静，熄灯关门都无声息，很典型的邓肯风格，就像他十九年来的球风一样，简洁又平静。打球就是打球。退役就是退役。 我为他写过几十万字一…
