序号,食物名称,食物热量,食物营养信息链接
432,千张，又叫百页、皮子、豆片、干豆腐,热量：262 大卡(每100克),http://www.boohee.com/shiwu/qianzhang
433,花生（烤、勤俭牌）,热量：586 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_qinjianpai
434,青豆（干），又叫青大豆,热量：398 大卡(每100克),http://www.boohee.com/shiwu/qingdou
435,豆腐干(酱油干)，又叫豆干,热量：157 大卡(每100克),http://www.boohee.com/shiwu/doufugan_jiangyougan
436,腰果，又叫鸡腰果、介寿果,热量：559 大卡(每100克),http://www.boohee.com/shiwu/yaoguo
437,莲子(干)，又叫莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,热量：350 大卡(每100克),http://www.boohee.com/shiwu/lianzi_gan
438,山核桃,热量：616 大卡(每100克),http://www.boohee.com/shiwu/shanhetao_gan
439,黑芝麻糊粉,热量：408 大卡(每100克),http://www.boohee.com/shiwu/heizhimahufen
440,豆腐干(小香干)，又叫豆干,热量：174 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xiaoxianggan
441,山核桃（熟），又叫小核桃,热量：658 大卡(每100克),http://www.boohee.com/shiwu/shanhetao_shu
442,花生（烤、密日兴牌）,热量：475 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_mirixingpai
443,开心果,热量：631 大卡(每100克),http://www.boohee.com/shiwu/kaixinguo_shu
444,素鸡,热量：194 大卡(每100克),http://www.boohee.com/shiwu/suji
445,黑豆，又叫黑大豆、乌豆、橹豆、马料豆、料豆、零乌豆、冬豆子,热量：401 大卡(每100克),http://www.boohee.com/shiwu/heidou
446,豆腐干(卤干)，又叫豆干,热量：339 大卡(每100克),http://www.boohee.com/shiwu/doufugan_lugan
447,腰果（熟）,热量：615 大卡(每100克),http://www.boohee.com/shiwu/yaoguo_shu
448,西瓜子(炒),热量：582 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_chao
449,腐竹（干），又叫支竹、甜竹、腐筋,热量：461 大卡(每100克),http://www.boohee.com/shiwu/fuzhu
450,花生米（油炸），又叫花生仁（油炸）,热量：583 大卡(每100克),http://www.boohee.com/shiwu/huashengren_youzha
451,杏仁(原味)，又叫北杏仁、杏核仁、杏子、杏人,热量：596 大卡(每100克),http://www.boohee.com/shiwu/xingren_yuanweiquanbu
452,栗子(鲜)，又叫板栗、大栗、栗果、毛栗、棋子、栗楔,热量：188 大卡(每100克),http://www.boohee.com/shiwu/lizi_xian
453,葵花子(炒),热量：625 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_chao
454,南瓜子(炒)，又叫南瓜籽、白瓜子,热量：582 大卡(每100克),http://www.boohee.com/shiwu/nanguazi_chao
455,豆腐干(菜干)，又叫豆干,热量：137 大卡(每100克),http://www.boohee.com/shiwu/doufugan_caigan
456,乐购浓豆浆,热量：26 大卡(每100克),http://www.boohee.com/shiwu/legounongdoujiang
457,西瓜子(话梅),热量：567 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_huamei
458,黄豆粉，又叫大豆粉,热量：432 大卡(每100克),http://www.boohee.com/shiwu/huangdoufen
459,豆腐卷,热量：203 大卡(每100克),http://www.boohee.com/shiwu/doufujuan
460,O'Day 扯扯素肉（麻辣味）,热量：148 大卡(每100克),http://www.boohee.com/shiwu/fdec584b
461,素火腿,热量：213 大卡(每100克),http://www.boohee.com/shiwu/suhuotui
462,美国大杏仁,热量：586 大卡(每100克),http://www.boohee.com/shiwu/meiguodaxingren
463,杏仁（熟、带壳）,热量：648 大卡(每100克),http://www.boohee.com/shiwu/xingren_shu_daike
464,毛核桃,热量：184 大卡(每100克),http://www.boohee.com/shiwu/maohetao
465,榛子仁（熟）,热量：628 大卡(每100克),http://www.boohee.com/shiwu/zhenziren_shu
466,松子(炒)，又叫罗松子、海松子、新罗松子、红松果、松仁、松元,热量：644 大卡(每100克),http://www.boohee.com/shiwu/songzi_chao
467,榛子(炒),热量：611 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_chao
468,杏仁（熟、去壳）,热量：625 大卡(每100克),http://www.boohee.com/shiwu/xingren_shu_quke
469,旭松纳豆,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xusongnadou
470,栗子(河北迁西），又叫板栗（河北迁西）,热量：182 大卡(每100克),http://www.boohee.com/shiwu/lizi_hebeiqianxi
471,Easy Fun 奇亚籽,热量：428 大卡(每100克),http://www.boohee.com/shiwu/fd1aa5af
472,西瓜子（熟），又叫黑瓜子,热量：550 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_shu
473,杏仁(炒),热量：618 大卡(每100克),http://www.boohee.com/shiwu/xingren_chao
474,杏仁(烤干，不加盐),热量：617 大卡(每100克),http://www.boohee.com/shiwu/xingren_kaogan_bujiayan
475,豆腐丝(油),热量：304 大卡(每100克),http://www.boohee.com/shiwu/doufusi_you
476,白果(干)，又叫银杏,热量：355 大卡(每100克),http://www.boohee.com/shiwu/baiguo_gan
477,南瓜子仁，又叫白瓜子、南瓜仁,热量：576 大卡(每100克),http://www.boohee.com/shiwu/nanguaziren
478,榛子，又叫尖栗、平榛、山反栗,热量：561 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_gan
479,白芝麻，又叫芝麻籽(白),热量：536 大卡(每100克),http://www.boohee.com/shiwu/zhimazi_bai
480,豆腐干(熏干)，又叫豆干,热量：154 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xungan
481,豆腐干(蒲包干),热量：135 大卡(每100克),http://www.boohee.com/shiwu/doufugan_pubaogan
482,桃仁，又叫毛桃仁、扁桃仁、大桃仁、光桃仁、炒桃仁,热量：429 大卡(每100克),http://www.boohee.com/shiwu/taoren
483,松子仁，又叫海松子、新罗松子,热量：718 大卡(每100克),http://www.boohee.com/shiwu/songziren
484,豆腐干(臭干),热量：99 大卡(每100克),http://www.boohee.com/shiwu/doufugan_chougan
485,杏仁(过油炸干),热量：631 大卡(每100克),http://www.boohee.com/shiwu/xingren_guoyouzhagan
486,豆腐丝(干),热量：451 大卡(每100克),http://www.boohee.com/shiwu/doufusi_gan
487,榛子（熟）,热量：642 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_shu
488,葵花子（熟）,热量：591 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_shu
489,香榧（熟），又叫香榧、赤果、野极子、榧实、罴子、玉杉果,热量：644 大卡(每100克),http://www.boohee.com/shiwu/xiangfei_shu
490,芡实米（干），又叫鸡头米、水鸡头、鸡头苞、鸡嘴莲、刺莲蓬实,热量：352 大卡(每100克),http://www.boohee.com/shiwu/qianshimi
491,杏仁(漂白后),热量：602 大卡(每100克),http://www.boohee.com/shiwu/xingren_piaobaihou
492,松子,热量：553 大卡(每100克),http://www.boohee.com/shiwu/songzi_shu
493,栗子（山东），又叫板栗（山东）,热量：168 大卡(每100克),http://www.boohee.com/shiwu/lizi_shandong
494,豆奶粉（多力牌）,热量：405 大卡(每100克),http://www.boohee.com/shiwu/dounaifen_duolipai
495,南方 无糖黑芝麻糊,热量：416 大卡(每100克),http://www.boohee.com/shiwu/nanfangwutangheizhimahu
496,西瓜子仁,热量：566 大卡(每100克),http://www.boohee.com/shiwu/xiguaziren
497,豆汁（生）,热量：10 大卡(每100克),http://www.boohee.com/shiwu/douzhi_sheng
498,谷统台式素香肠,热量：189 大卡(每100克),http://www.boohee.com/shiwu/gutongtaishisuxiangchang
499,栗子（北京密云），又叫板栗（北京密云）,热量：186 大卡(每100克),http://www.boohee.com/shiwu/lizi_beijingmiyun
500,素鸡丝卷,热量：197 大卡(每100克),http://www.boohee.com/shiwu/sujisijuan
501,饮用水，又叫水、自来水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/yinyongshui
502,咖啡粉，又叫速溶咖啡粉,热量：218 大卡(每100克),http://www.boohee.com/shiwu/kafeifen
503,麦斯威尔 原味咖啡,热量：478 大卡(每100克),http://www.boohee.com/shiwu/maisiweieryuanweikafei
504,黑咖啡（液），又叫美式、美式咖啡、澳黑,热量：1 大卡(每100毫升),http://www.boohee.com/shiwu/heikafei
505,矿泉水，又叫水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/kuangquanshui
506,啤酒,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/pijiu_junzhi
507,珍珠奶茶，又叫奶茶,热量：52 大卡(每100毫升),http://www.boohee.com/shiwu/zhenzhunaicha
508,天福茗茶 绿茶粉,热量：328 大卡(每100克),http://www.boohee.com/shiwu/tianfumingchapailvchafen
509,绿茶（茶叶本身），又叫绿茶、茶叶,热量：328 大卡(每100克),http://www.boohee.com/shiwu/lvcha
510,柠檬汁,热量：27 大卡(每100毫升),http://www.boohee.com/shiwu/ningmengzhi
511,江米酒，又叫糯米酒、甜酒、酒酿、醪糟,热量：91 大卡(每100毫升),http://www.boohee.com/shiwu/jiangmijiu
512,红酒,热量：96 大卡(每100毫升),http://www.boohee.com/shiwu/hongjiu
513,茶水，又叫茶,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/chashui
514,橙汁饮料（汇源牌）,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiyinliao_huiyuanpai
515,光明 藜麦谷物牛奶,热量：76 大卡(每100毫升),http://www.boohee.com/shiwu/fdee4440
516,光明 巧克努力 巧克力牛奶饮品,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/fd149b3f
517,光明 一只椰子 牛乳饮品,热量：58 大卡(每100毫升),http://www.boohee.com/shiwu/fd755b55
518,可口可乐 汽水，又叫可乐,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fd46aa5b
519,康宝莱 蛋白混合饮料（巧克力味）,热量：370 大卡(每100克),http://www.boohee.com/shiwu/kangbaolaidanbaihunheyinliao
520,私房小厨杏仁粉,热量：580 大卡(每100克),http://www.boohee.com/shiwu/sifangxiaochuxingrenfen
521,甘蔗汁,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/ganzhezhi
522,铁观音茶（茶叶本身）,热量：334 大卡(每100克),http://www.boohee.com/shiwu/tieguanyincha
523,可可粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/kekefen
524,农夫山泉 水溶C100 柠檬汁,热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/shuirongC100ningmengzhi
525,红葡萄酒,热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/hongputaojiu
526,红茶（茶叶本身）,热量：324 大卡(每100克),http://www.boohee.com/shiwu/hongcha
527,统一弗蕾奶茶-经典麦香,热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/tongyifuleinaicha-jingdianmaixiang
528,雀巢/Nestle 原叶低糖绿茶,热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/quechaoyuanyeditanglvcha
529,椰树牌 椰汁,热量：50 大卡(每100毫升),http://www.boohee.com/shiwu/zhengzongyeshupaiyezhi
530,可口可乐 零度 汽水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fdf96dfc
531,可口可乐 樱桃味汽水,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/fde140ed
532,可口可乐 姜味汽水,热量：31 大卡(每100克),http://www.boohee.com/shiwu/fd254263
533,可口可乐 健怡 汽水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fda1dc8b
534,可口可乐 纤维+ 汽水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fd68003b
535,杏仁露,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/xingrenlu
536,可口可乐  香草味汽水,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fdc9230d
537,弗蕾绿奶茶（鲜绿茉香口味）,热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/fuleilvnaichahixianlvmoxiangkouweihi
538,可乐，又叫可乐,热量：45 大卡(每100毫升),http://www.boohee.com/shiwu/bingchuankele
539,超模25 综合营养素（树莓味）,热量：49 大卡(每100克),http://www.boohee.com/shiwu/fdb9c73c
540,超模25 营养玄米饮（抹茶味）,热量：358 大卡(每100克),http://www.boohee.com/shiwu/fd4b5ee7
541,超模25 营养可可,热量：366 大卡(每100克),http://www.boohee.com/shiwu/fdc78d52
542,Easy Fun 路易波士茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd90acfe
543,Easy Fun 纯马黛茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd36d1d9
544,超模25 营养饮（玉米蔬菜味）,热量：366 大卡(每100克),http://www.boohee.com/shiwu/fde0c510
545,Easy Fun 玉米须茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd2e9127
546,Beauty Reset 焕白肌密果味饮料,热量：29 大卡(每100毫升),http://www.boohee.com/shiwu/fdae59f0
547,芬达 橙味汽水,热量：34 大卡(每100毫升),http://www.boohee.com/shiwu/fd040161
548,Easy Fun 意式咖啡包（奶萃）,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd80e745
549,O'day 运动蛋白粉（蜜桃味）,热量：404 大卡(每100克),http://www.boohee.com/shiwu/fd214dac
550,超模25 畅爽西梅饮,热量：132 大卡(每100毫升),http://www.boohee.com/shiwu/fdfba59b
551,超模25 咖啡蛋白饮,热量：417 大卡(每100克),http://www.boohee.com/shiwu/fde9641c
552,超模25 果蔬营养素（番茄味）,热量：70 大卡(每100克),http://www.boohee.com/shiwu/fd634fb2
553,喜乐(乳酸饮料),热量：53 大卡(每100毫升),http://www.boohee.com/shiwu/xile_rusuanyinliao
554,橙汁汽水,热量：20 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiqishui
555,咖啡豆,热量：313 大卡(每100克),http://www.boohee.com/shiwu/kafeidou
556,十全苹果醋,热量：29 大卡(每100毫升),http://www.boohee.com/shiwu/shiquanpingguocu
557,维他奶原味豆奶饮料（低脂肪）,热量：48 大卡(每100毫升),http://www.boohee.com/shiwu/weitanai_dizhidounai
558,七喜,热量：30 大卡(每100毫升),http://www.boohee.com/shiwu/qixi
559,橙汁饮料（光明牌）,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiyinliao_guangmingpai
560,康师傅 绿茶（低糖）,热量：15 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifulvcha_ditang
561,麦氏典藏MAXIM原味咖啡,热量：441 大卡(每100克),http://www.boohee.com/shiwu/maishidiancangMAXIMyuanweikafei
562,雀巢/Nestle 冰爽茶冰极柠檬味绿茶饮料,热量：39 大卡(每100克),http://www.boohee.com/shiwu/quechaobingshuangchabingjiningmengweilvchayinliao
563,麦斯威尔致醇口味咖啡,热量：365 大卡(每100克),http://www.boohee.com/shiwu/maisiweierzhichunkouweikafei
564,丹特牌蜂蜜柚子茶,热量：260 大卡(每100克),http://www.boohee.com/shiwu/dantepaifengmiyouzicha
565,橘子汁,热量：119 大卡(每100毫升),http://www.boohee.com/shiwu/juzizhi
566,椰子汁饮料,热量：51 大卡(每100毫升),http://www.boohee.com/shiwu/yezizhiyinliao
567,康师傅 茉莉清茶（淡雅低糖）,热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifumoliqingcha
568,统一  绿茶（低糖茉莉花味）,热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/tongyilvcha_ditangmolihuawei
569,三得利 乌龙茶（无糖）,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/sandeliwulongchahiwutanghi
570,康师傅 茉莉蜜茶,热量：31 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifumolimicha
571,花茶（花茶本身），又叫香片、熏花茶、窨花茶,热量：316 大卡(每100克),http://www.boohee.com/shiwu/huacha
572,胡萝卜汁饮料,热量：24 大卡(每100毫升),http://www.boohee.com/shiwu/huluobozhiyinliao
573,苹果汁饮料（光明牌）,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/pingguozhiyinliao_guangmingpai
574,红果汁,热量：157 大卡(每100毫升),http://www.boohee.com/shiwu/hongguozhi
575,惠尔康谷粒谷力玉米南瓜浓浆,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/guliguliyuminanguanongjiang
576,自制蜂蜜柚子茶,热量：137 大卡(每100毫升),http://www.boohee.com/shiwu/zizhifengmiyouzicha
577,超模17 营养奶昔,热量：359 大卡(每100克),http://www.boohee.com/shiwu/fd10a519
578,葡萄酒（干红，12%，张裕牌）,热量：75 大卡(每100毫升),http://www.boohee.com/shiwu/putaojiu_ganhong_12_zhangyupai
579,蒙牛果蔬酸酸乳,热量：31 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguoshusuansuanru
580,汇源橙汁饮料,热量：36 大卡(每100毫升),http://www.boohee.com/shiwu/huiyuanchengzhiyinliao
581,巧克力豆奶,热量：39 大卡(每100毫升),http://www.boohee.com/shiwu/qiaokelidounai
582,大麦茶（茶叶本身）,热量：393 大卡(每100克),http://www.boohee.com/shiwu/damaicha
583,农夫茶龙井绿茶饮品-低糖,热量：19 大卡(每100毫升),http://www.boohee.com/shiwu/nongfuchalongjinglvchayinpin-ditang
584,味佳牌蜂蜜柚子茶,热量：250 大卡(每100克),http://www.boohee.com/shiwu/weijiapaifengmiyouzicha
585,惠尔康 谷粒谷力燕麦浓浆,热量：58 大卡(每100毫升),http://www.boohee.com/shiwu/huierkangpaiguliguliyanmainongjiang
586,柠檬茶（雀巢牌，固体饮料）,热量：406 大卡(每100克),http://www.boohee.com/shiwu/ningmengcha
587,汇源100%苹果汁,热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/huiyuan100pingguozhi
588,美汁源 果粒橙,热量：41 大卡(每100毫升),http://www.boohee.com/shiwu/meizhiyuanguolicheng2
589, 惠尔康谷粒谷力荞麦浓浆,热量：18 大卡(每100毫升),http://www.boohee.com/shiwu/hihuierkangguliguliqiaomainongjiang
590,酸乳饮料,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/suanruyinliao
591,色拉油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/selayou
592,花生油，又叫落花生油、果油、油、食用油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/huashengyou
593,豆油，又叫油，食用油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/douyou
594,混合油(菜+棕),热量：900 大卡(每100克),http://www.boohee.com/shiwu/hunheyou_caizong
595,葵花籽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/kuihuaziyou
596,橄榄油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/ganlanyou
597,菜籽油，又叫菜子油、菜油、油菜籽油、芸苔油、香菜油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/caiziyou
598,辣椒油，又叫红油、油辣子,热量：900 大卡(每100克),http://www.boohee.com/shiwu/lajiaoyou
599,芝麻油，又叫麻油、芝麻油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/zhimayou
600,金龙鱼食用调和油,热量：884 大卡(每100克),http://www.boohee.com/shiwu/jinlongyushiyongdiaoheyou
601,麒麟午后红茶奶茶饮料-低脂肪,热量：34 大卡(每100毫升),http://www.boohee.com/shiwu/qilinwuhouhongchanaichayinliao-dizhifang
602,葡萄酒（干红，11.5%，长城牌）,热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/putaojiu_ganhong_115_changchengpai
603,啤酒（4.3%，青岛牌）,热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/pijiu_43_qingdaopai
604,南国牌速溶椰子粉,热量：465 大卡(每100克),http://www.boohee.com/shiwu/nanguopaisurongyezifen
605,崇明老白酒，又叫烧酒、白干儿、火酒、烈性酒、高度酒,热量：298 大卡(每100毫升),http://www.boohee.com/shiwu/chongminglaobaijiu
606,酷儿香橙汁,热量：52 大卡(每100毫升),http://www.boohee.com/shiwu/kuerxiangchengzhi
607,可果美纯正番茄汁,热量：22 大卡(每100毫升),http://www.boohee.com/shiwu/keguomeichunzhengfanqiezhi
608,汉波红枣阿胶浓浆,热量：352 大卡(每100克),http://www.boohee.com/shiwu/hanbohongzaoajiaonongjiang
609,卡夫/Kraft 果珍（美国甜橙味）,热量：388 大卡(每100克),http://www.boohee.com/shiwu/kafuguozhentianchengwei
610,美雀思椰奶,热量：127 大卡(每100毫升),http://www.boohee.com/shiwu/meiquesiyenai
611,猪油(板油)，又叫油，食用油，猪网油,热量：827 大卡(每100克),http://www.boohee.com/shiwu/zhuyou_banyou
612,玉米油,热量：895 大卡(每100克),http://www.boohee.com/shiwu/yumiyou
613,猪油(炼)，又叫大油、荤油、猪脂膏,热量：897 大卡(每100克),http://www.boohee.com/shiwu/zhuyou_lian
614,香油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/xiangyou
615,黄油，又叫白脱油,热量：888 大卡(每100克),http://www.boohee.com/shiwu/huangyou
616,欧丽薇兰特级初榨橄榄油,热量：814 大卡(每100克),http://www.boohee.com/shiwu/ouliweilantejichuzhaganlanyou
617,金龙鱼 玉米油,热量：884 大卡(每100克),http://www.boohee.com/shiwu/jinlongyuyumiyou
618,胡麻油，又叫亚麻油、亚麻子油、胡麻子油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/humayou
619,粟米油，又叫玉米胚芽油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/sumiyou
620,茶油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/chayou
621,大麻油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/damayou
622,佳之选 橄榄油,热量：823 大卡(每100克),http://www.boohee.com/shiwu/jiazhixuanpaiganlanyou
623,金牛 芝麻油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/xiangyou13
624,坎诺拉健康黄油,热量：700 大卡(每100克),http://www.boohee.com/shiwu/kannuolajiankanghuangyou
625,olivoila 初榨橄榄油,热量：884 大卡(每100克),http://www.boohee.com/shiwu/olivoilachuzhaganlanyou
626,牛油，又叫牛脂,热量：835 大卡(每100克),http://www.boohee.com/shiwu/niuyou
627,融氏纯玉米油,热量：860 大卡(每100克),http://www.boohee.com/shiwu/rongshichunyumiyou
628,安佳淡奶油,热量：350 大卡(每100克),http://www.boohee.com/shiwu/anjiadannaiyou
629,黄油渣,热量：599 大卡(每100克),http://www.boohee.com/shiwu/huangyouzha
630,牛油(炼),热量：898 大卡(每100克),http://www.boohee.com/shiwu/niuyou_lian
631,光明植物黄油,热量：719 大卡(每100克),http://www.boohee.com/shiwu/guangmingzhiwuhuangyou2
632,雀巢 三花全脂淡奶,热量：141 大卡(每100克),http://www.boohee.com/shiwu/quechaosanhuaquanzhidannai
633,棕榈油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/zonglvyou
634,麦芽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/maiyayou
635,油茶籽油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/youchaziyou
636,（AGIA）阿茜娅纯橄榄油,热量：878 大卡(每100克),http://www.boohee.com/shiwu/_AGIAaqianyachunganlanyou
637,Somerfield 纯菜油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/Somerfieldchuncaiyou
638,羊油，又叫羊脂,热量：824 大卡(每100克),http://www.boohee.com/shiwu/yangyou
639,棉籽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/mianziyou
640,白脱(食品工业)，又叫牛油，黄油,热量：744 大卡(每100克),http://www.boohee.com/shiwu/baituo_shipingongye
641,卡拉利特级橄榄油,热量：822 大卡(每100克),http://www.boohee.com/shiwu/kalalitejiganlanyou
642,羊油(炼),热量：895 大卡(每100克),http://www.boohee.com/shiwu/yangyou_lian
643,常春 淡奶油（麻辣味）,热量：350 大卡(每100克),http://www.boohee.com/shiwu/yingerpeifangnaifen_wandashanpai
644,PAMS超淡橄榄油,热量：810 大卡(每100克),http://www.boohee.com/shiwu/PAMSchaodanganlanyou
645,阿尔法 辣米油,热量：844 大卡(每100克),http://www.boohee.com/shiwu/yingerpeifangnaifen_shengyuanpai
646,红花油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/honghuayou
647,天然世家 野生铁核桃油,热量：884 大卡(每100毫升),http://www.boohee.com/shiwu/fd7654fd
648,福临门 天天五谷食用调和油,热量：883 大卡(每100毫升),http://www.boohee.com/shiwu/fdfbdaa7
649,Lactima 牛油（无盐）,热量：740 大卡(每100克),http://www.boohee.com/shiwu/fdff787b
650,长生 特级初榨橄榄油,热量：877 大卡(每100克),http://www.boohee.com/shiwu/changshengtejichuzhaganlanyou
651,珠江 桥牌小磨芝麻油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/zhujiangqiaopaixiaomozhimayou
652,鸭油(炼),热量：897 大卡(每100克),http://www.boohee.com/shiwu/yayou_lian
